metro,year,kl,recon_img_err,recon_econ_err,anomaly_score,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15
denver,2013,1.5845863819122314,0.36210280656814575,0.23114044964313507,2.1778297424316406,0.43557593,0.56678987,-0.0076549947,0.00036854297,0.65333194,-0.15076417,-0.31610468,0.1510013,-0.44502252,-0.3540551,0.07781765,0.23041695,0.011979986,0.5456133,0.46941054,0.58687896
denver,2014,0.5180139541625977,0.41100800037384033,0.359222948551178,1.2882449626922607,-0.2583967,-0.38951367,-0.20905395,0.20165798,-0.18268089,-0.09663241,0.1561223,-0.008664943,0.13904192,-0.11776595,-0.07694177,0.09889509,0.21515468,-0.11963685,-0.05189486,-0.31330034
denver,2015,0.9328809976577759,0.43097546696662903,0.37209856510162354,1.735954999923706,-0.34381154,-0.55733705,-0.28933024,0.27429235,-0.28666025,-0.12513041,0.26402965,-0.044482507,0.28475568,-0.065846674,-0.12854461,0.11673864,0.2786738,-0.19350785,-0.20196281,-0.4885695
denver,2016,0.7888269424438477,0.5014772415161133,0.47703880071640015,1.7673430442810059,-0.19380294,-0.44338486,-0.14306168,0.14858522,-0.33428818,-0.03209828,0.22963542,0.068465814,0.31435272,0.07065894,-0.03051433,0.017332152,0.12310943,-0.3085188,-0.29474235,-0.47946614
denver,2017,0.8311543464660645,0.6844803690910339,0.44178473949432373,1.9574193954467773,-0.29649788,-0.43865737,-0.16001564,0.15592395,-0.3840291,-0.0007013157,0.26321188,-0.08328081,0.3298716,0.13389039,-0.0869194,-0.012041088,0.10241141,-0.21747479,-0.26484644,-0.47360128
denver,2018,0.8896199464797974,0.43556323647499084,0.3616158962249756,1.6867990493774414,-0.36119822,-0.45570904,-0.18788654,0.16701701,-0.39414656,-0.015577145,0.27914193,-0.17115754,0.33032626,0.14410639,-0.12350677,-0.0017241642,0.1259611,-0.14870663,-0.25325227,-0.45556226
denver,2019,1.2888104915618896,0.5787943601608276,0.5522572994232178,2.4198622703552246,-0.5231201,-0.6081357,-0.27308542,0.2848868,-0.4095735,-0.08147558,0.35232982,-0.23133504,0.38203007,0.090012625,-0.22109385,0.061766285,0.23074436,-0.12155187,-0.24981157,-0.5471151
denver,2021,1.8791853189468384,0.4363078474998474,1.5034316778182983,3.818924903869629,-0.34527937,-0.7872451,-0.609833,0.623171,0.13193396,-0.4862206,0.19610357,0.20515904,-0.06088425,-0.5709503,-0.15873457,0.4305702,0.66842616,0.009726413,0.050474282,-0.34021133
denver,2022,1.7047693729400635,0.24120934307575226,0.6959009170532227,2.6418795585632324,-0.12949128,-0.7153489,-0.20723698,0.21654403,-0.36156398,-0.18420306,0.29191715,0.3375067,0.36977068,-0.051872604,-0.012020543,0.06420095,0.35592106,-0.6252186,-0.5079348,-0.7503384
denver,2023,1.3119087219238281,0.3722294867038727,0.5604410171508789,2.244579315185547,-0.49256435,-0.67806643,-0.47518682,0.4550897,-0.13953128,-0.2824788,0.26720417,-0.06424276,0.16876529,-0.25377697,-0.22461002,0.27083609,0.4647641,-0.0027792752,-0.06823969,-0.43620056
detroit,2013,12.56260871887207,2.654186248779297,0.7539241313934326,15.970719337463379,0.2255236,1.72044,0.7359594,-0.73869926,1.2384083,-0.050194584,-0.5476398,-1.4458369,-1.1948563,0.45176747,-0.46492356,0.0018817624,-0.7963277,2.3952591,1.1579175,1.8866744
detroit,2014,3.343472957611084,0.4808211624622345,0.46274688839912415,4.287041187286377,0.48611125,0.9198414,0.15635899,-0.18313378,0.87746036,-0.17443064,-0.4377435,-0.24674079,-0.7481613,-0.23728776,-0.098082244,0.19512196,-0.13415413,0.9990331,0.73029274,0.9718849
