metro,year,kl,recon_img_err,recon_econ_err,anomaly_score,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15
houston,2023,0.12855184078216553,0.7932896614074707,2.4350457191467285,3.3568873405456543,-0.07113005,-0.0064618196,0.07639388,-0.06831277,-0.26680228,-0.072153665,-0.24508849,0.0131114125,-0.02954535,-0.0013128482,0.05505237,0.021800762,0.14171356,-0.032496206,0.14816931,0.07269737
jacksonville,2013,0.10335138440132141,0.8750848770141602,2.57981538772583,3.5582516193389893,0.083085224,-0.055078957,-0.017579846,0.02372054,-0.20831499,0.02508019,-0.14837185,0.13987613,0.1189747,-0.05989784,0.14120804,0.029158441,0.06540687,0.039531633,0.06739135,0.10077934
jacksonville,2014,0.08740723133087158,0.7817184925079346,1.0585951805114746,1.9277209043502808,0.05383873,-0.05841033,-0.0067783147,-0.0029012412,-0.20372616,0.03429343,-0.14029747,0.12130592,0.09675559,-0.069639854,0.106106356,0.030561207,0.04354112,-0.013723679,0.08054749,0.10893248
jacksonville,2015,0.08539357781410217,0.6826176047325134,0.5757814049720764,1.3437925577163696,0.055813786,-0.053615868,-0.013392426,0.015724465,-0.18733783,0.018964041,-0.1398984,0.14061569,0.03898161,-0.07405803,0.11138763,0.031025829,0.052021984,-0.040889356,0.103322625,0.0856808
jacksonville,2016,0.08458465337753296,0.5247972011566162,0.4915626645088196,1.1009445190429688,0.030873448,-0.047959503,0.0023131445,-0.025243461,-0.2107352,0.040675692,-0.14968947,0.10045482,0.07164443,-0.061112918,0.092844,0.0497571,0.039866585,-0.041060004,0.08424356,0.113860786
jacksonville,2017,0.08446159958839417,0.6529167890548706,0.43132930994033813,1.1687077283859253,0.054310545,-0.027248213,0.00053498894,-0.020185046,-0.20558658,0.034396913,-0.14993727,0.1147824,0.065447986,-0.06148468,0.09082167,0.044186816,0.033257082,-0.02915766,0.09418815,0.10426393
jacksonville,2018,0.09444129467010498,0.6705315709114075,0.5797467231750488,1.3447195291519165,0.08261883,-0.03965862,-0.008260727,-0.010888591,-0.20834199,0.024119593,-0.15413545,0.12767318,0.057965465,-0.07816187,0.10195248,0.049191684,0.01728329,-0.02952658,0.10288902,0.10366769
jacksonville,2019,0.08440634608268738,0.5688046216964722,0.5719080567359924,1.2251191139221191,0.0685333,-0.041826017,0.0049320757,-0.017876528,-0.2175845,0.020090323,-0.1440398,0.11542551,0.05220373,-0.06278989,0.08803877,0.037022322,0.032373905,-0.024847958,0.100680806,0.11531171
jacksonville,2021,0.10729268193244934,0.6304746866226196,1.7926641702651978,2.5304315090179443,0.093369484,-0.05540431,0.030191183,-0.017022349,-0.22225022,-0.024012126,-0.21116018,0.12475623,0.059307087,-0.07024132,0.06872269,-0.035334773,0.07917607,-0.009522036,0.045973018,0.118881375
jacksonville,2022,0.08981812000274658,0.5218122005462646,1.3951143026351929,2.006744623184204,0.046188325,-0.06318058,0.044495054,-0.017791323,-0.21716449,-0.007879876,-0.17501974,0.082687676,0.04273947,-0.062467262,0.069628455,-0.029809743,0.087605014,-0.074689746,0.06385323,0.08615108
