metro,year,selected_date,selected_quality_flag,baseline_08_01_date,baseline_08_01_core_diffuse_cloud_pct,baseline_08_01_diffuse_cloud_pct,selected_core_diffuse_cloud_pct,selected_diffuse_cloud_pct,selected_core_dark_or_empty_pct,selected_dark_or_empty_pct,status,requested_tiles,fetched_tiles,missing_tiles,width,height,actual_core_diffuse_cloud_pct,actual_diffuse_cloud_pct,actual_core_dark_or_empty_pct,actual_dark_or_empty_pct,actual_core_mean_brightness,actual_mean_brightness,output_path,refreshed_at_utc
las_vegas,2023,2023-07-26,cloudy_but_complete,2023-08-01,68.49,49.88,10.01,13.19,0.00,0.00,written,2,2,0,1024,512,10.01,13.19,0.00,0.00,0.3507,0.3853,data/imagery/las_vegas/modis_rgb/2023.tif,2026-05-06T04:34:51.365996+00:00
nashville,2013,2013-07-01,clean,2013-08-01,1.11,1.99,0.06,0.15,0.00,0.00,written,1,1,0,512,512,0.06,0.15,0.00,0.00,0.1151,0.1314,data/imagery/nashville/modis_rgb/2013.tif,2026-05-06T04:34:51.903735+00:00
nashville,2014,2014-05-15,clean,2014-08-01,5.04,8.47,1.38,2.37,0.00,0.00,written,1,1,0,512,512,1.38,2.37,0.00,0.00,0.1648,0.2025,data/imagery/nashville/modis_rgb/2014.tif,2026-05-06T04:34:52.292356+00:00
nashville,2015,2015-07-01,clean,2015-08-01,1.61,1.78,0.16,0.99,0.00,0.00,written,1,1,0,512,512,0.16,0.99,0.00,0.00,0.1604,0.1912,data/imagery/nashville/modis_rgb/2015.tif,2026-05-06T04:34:52.907948+00:00
nashville,2016,2016-08-15,clean,2016-08-01,1.55,2.97,0.07,1.44,0.00,0.00,written,1,1,0,512,512,0.07,1.44,0.00,0.00,0.2426,0.2633,data/imagery/nashville/modis_rgb/2016.tif,2026-05-06T04:34:53.365218+00:00
nashville,2017,2017-07-01,clean,2017-08-01,19.29,15.84,0.67,0.81,0.00,0.00,written,1,1,0,512,512,0.67,0.81,0.00,0.00,0.2040,0.2037,data/imagery/nashville/modis_rgb/2017.tif,2026-05-06T04:34:53.863621+00:00
nashville,2018,2018-07-15,clean,2018-08-01,1.80,1.64,0.36,3.75,0.00,0.00,written,1,1,0,512,512,0.36,3.75,0.00,0.00,0.2459,0.2766,data/imagery/nashville/modis_rgb/2018.tif,2026-05-06T04:34:54.433898+00:00
nashville,2019,2019-08-01,clean,2019-08-01,1.06,1.49,1.06,1.49,0.00,0.00,written,1,1,0,512,512,1.06,1.49,0.00,0.00,0.2074,0.2354,data/imagery/nashville/modis_rgb/2019.tif,2026-05-06T04:34:54.851251+00:00
nashville,2020,2020-09-01,clean,2020-08-01,1.32,5.69,0.41,1.43,0.00,3.96,written,1,1,0,512,512,0.41,1.43,0.00,3.96,0.1973,0.2158,data/imagery/nashville/modis_rgb/2020.tif,2026-05-06T04:34:55.279569+00:00
nashville,2021,2021-06-15,clean,2021-08-01,1.89,1.75,1.26,2.77,0.00,0.00,written,1,1,0,512,512,1.26,2.77,0.00,0.00,0.1490,0.1910,data/imagery/nashville/modis_rgb/2021.tif,2026-05-06T04:34:55.720067+00:00
