metro,year,selected_date,selected_quality_flag,selected_missing_tiles,selected_core_diffuse_cloud_pct,selected_diffuse_cloud_pct,selected_core_strict_white_cloud_pct,selected_strict_white_cloud_pct,selected_core_dark_or_empty_pct,selected_dark_or_empty_pct,baseline_08_01_date,baseline_08_01_missing_tiles,baseline_08_01_core_diffuse_cloud_pct,baseline_08_01_diffuse_cloud_pct,baseline_08_01_dark_or_empty_pct,improvement_vs_08_01
kansas_city,2023,2023-04-01,clean,0,1.00,1.58,0.00,0.01,0.00,0.00,2023-08-01,0,13.63,21.91,0.00,20.33
las_vegas,2013,2013-04-26,cloudy_but_complete,0,19.97,23.66,5.10,6.73,0.01,0.00,2013-08-01,0,19.85,36.81,37.38,13.15
las_vegas,2014,2014-05-24,cloudy_but_complete,0,14.92,20.79,0.37,0.71,0.00,0.00,2014-08-01,0,34.58,51.47,0.00,30.68
las_vegas,2015,2015-11-19,cloudy_but_complete,0,28.45,23.62,2.14,1.75,0.00,0.00,2015-08-01,0,62.04,56.75,0.00,33.13
las_vegas,2016,2016-01-15,cloudy_but_complete,0,10.65,9.17,0.52,0.39,0.00,0.00,2016-08-01,0,71.85,71.40,0.00,62.23
las_vegas,2017,2017-04-05,cloudy_but_complete,0,10.84,13.87,0.13,0.57,0.00,0.00,2017-08-01,0,14.17,18.54,17.94,4.67
las_vegas,2018,2018-02-12,cloudy_but_complete,0,16.86,25.59,1.07,1.92,0.00,0.00,2018-08-01,0,38.66,33.84,35.21,8.25
las_vegas,2019,2019-08-30,cloudy_but_complete,0,18.71,25.81,0.24,0.29,0.00,2.30,2019-08-01,0,53.01,50.21,0.00,24.40
las_vegas,2020,2020-04-26,cloudy_but_complete,0,10.71,23.43,0.13,1.52,0.00,1.94,2020-08-01,0,36.70,43.83,0.00,20.40
las_vegas,2021,2021-08-20,cloudy_but_complete,0,16.64,26.87,0.30,3.32,0.01,0.00,2021-08-01,0,65.85,70.77,0.00,43.90
las_vegas,2022,2022-01-08,clean,0,8.37,12.63,0.19,0.78,0.00,0.00,2022-08-01,0,26.40,38.15,37.61,25.52
las_vegas,2023,2023-07-26,cloudy_but_complete,0,10.01,13.19,0.29,1.10,0.00,0.00,2023-08-01,0,68.49,49.88,29.86,36.69
miami,2013,2013-04-15,clean,0,0.34,0.97,0.00,0.00,0.00,4.22,2013-08-01,0,5.97,8.50,0.00,7.53
miami,2014,2014-04-15,clean,0,1.81,1.99,0.00,0.00,0.00,0.00,2014-08-01,0,6.04,17.86,38.83,15.87
miami,2015,2015-05-01,clean,0,2.08,1.80,0.06,0.05,0.00,0.00,2015-08-01,0,9.01,6.62,0.00,4.82
miami,2016,2016-06-01,clean,0,1.12,2.75,0.01,0.03,0.00,0.00,2016-08-01,0,11.06,9.98,23.21,7.23
miami,2017,2017-04-01,clean,0,0.21,0.71,0.00,0.01,0.00,0.00,2017-08-01,0,7.39,7.22,0.00,6.51
miami,2018,2018-06-01,clean,0,2.18,10.48,0.04,0.19,0.00,0.00,2018-08-01,0,8.73,9.55,0.00,-0.93
miami,2019,2019-04-15,clean,0,0.51,2.26,0.00,0.01,0.00,0.00,2019-08-01,0,4.13,4.48,53.56,2.22
miami,2020,2020-04-01,clean,0,1.42,3.63,0.00,0.01,0.00,0.00,2020-08-01,0,2.35,5.20,40.15,1.57
miami,2021,2021-06-15,clean,0,0.58,1.69,0.01,0.04,0.00,0.00,2021-08-01,0,4.10,5.85,0.00,4.16
miami,2022,2022-05-15,clean,0,0.14,1.03,0.00,0.04,0.00,0.00,2022-08-01,0,4.75,6.55,0.00,5.52
miami,2023,2023-04-15,clean,0,1.05,1.74,0.02,0.04,0.00,0.00,2023-08-01,0,1.35,4.12,0.00,2.38
minneapolis,2013,2013-04-01,clean,0,1.16,3.28,0.00,0.02,0.00,3.78,2013-08-01,0,9.81,6.05,0.00,2.77
minneapolis,2014,2014-10-01,clean,0,0.56,0.50,0.00,0.00,0.00,0.00,2014-08-01,0,0.69,0.59,23.51,0.09
minneapolis,2015,2015-10-01,clean,0,0.67,1.88,0.00,0.05,0.00,0.00,2015-08-01,0,13.37,13.51,0.00,11.63
minneapolis,2016,2016-10-15,clean,0,0.94,0.96,0.02,0.01,0.00,0.00,2016-08-01,0,10.74,11.35,0.00,10.39
minneapolis,2017,2017-04-15,clean,0,2.06,1.59,0.00,0.00,0.00,0.54,2017-08-01,0,46.83,31.09,0.00,29.50
minneapolis,2018,2018-09-15,clean,0,0.18,0.36,0.00,0.00,0.00,0.00,2018-08-01,0,21.72,13.83,17.26,13.47
minneapolis,2019,2019-10-01,clean,0,0.30,0.55,0.00,0.01,0.00,0.00,2019-08-01,0,3.79,4.76,0.00,4.21
minneapolis,2020,2020-04-01,clean,0,0.14,1.93,0.00,0.04,0.00,0.00,2020-08-01,0,7.00,4.53,22.38,2.60
minneapolis,2021,2021-04-15,clean,0,0.12,0.20,0.00,0.00,0.00,0.00,2021-08-01,0,0.51,0.93,0.00,0.73
minneapolis,2022,2022-09-01,clean,0,0.46,2.35,0.00,0.00,0.00,3.64,2022-08-01,0,6.25,6.42,0.00,4.07
minneapolis,2023,2023-09-01,clean,0,0.60,1.27,0.01,0.02,0.00,0.00,2023-08-01,0,5.73,4.37,0.00,3.10
